file_path,detected_issues,recommended_migration_target
client/vite.config.js,Material UI import; React Router usage,Convert to Next.js 14 TypeScript component under components/* with shadcn/ui and Apollo hooks
client/src/theme.js,Material UI import,Convert to Next.js 14 TypeScript component under components/* with shadcn/ui and Apollo hooks
client/src/setupTests.js,React Router usage,Convert to Next.js 14 TypeScript component under components/* with shadcn/ui and Apollo hooks
client/src/routes.jsx,.jsx extension; Material UI import,Convert to Next.js 14 TypeScript component under components/* with shadcn/ui and Apollo hooks
client/src/main.jsx,.jsx extension; Material UI import; React Router usage,Convert to Next.js 14 TypeScript component under components/* with shadcn/ui and Apollo hooks
client/netlify/edge-functions/og-metadata.js,fetch() instead of Apollo,Convert to Next.js 14 TypeScript component under components/* with shadcn/ui and Apollo hooks
client/src/utils/display.jsx,.jsx extension; Material UI import,Convert to Next.js 14 TypeScript component under components/* with shadcn/ui and Apollo hooks
client/src/utils/replaceGqlError.jsx,.jsx extension,Convert to Next.js 14 TypeScript component under components/* with shadcn/ui and Apollo hooks
client/src/utils/getTopPostsVoteHighlights.jsx,.jsx extension,Convert to Next.js 14 TypeScript component under components/* with shadcn/ui and Apollo hooks
client/src/utils/getActivityContent.jsx,.jsx extension,Convert to Next.js 14 TypeScript component under components/* with shadcn/ui and Apollo hooks
client/src/utils/momentUtils.jsx,.jsx extension,Convert to Next.js 14 TypeScript component under components/* with shadcn/ui and Apollo hooks
client/src/utils/getCardBackgroundColor.jsx,.jsx extension,Convert to Next.js 14 TypeScript component under components/* with shadcn/ui and Apollo hooks
client/src/Context/AuthModalContext.test.jsx,.jsx extension,Convert to Next.js 14 TypeScript component under components/* with shadcn/ui and Apollo hooks
client/src/Context/ThemeContext.jsx,.jsx extension; Material UI import; useState/useEffect (likely use client),Convert to Next.js 14 TypeScript component under components/* with shadcn/ui and Apollo hooks
client/src/Context/AuthModalContext.jsx,.jsx extension; useState/useEffect (likely use client),Convert to Next.js 14 TypeScript component under components/* with shadcn/ui and Apollo hooks
client/src/graphql/query.jsx,.jsx extension,Convert to Next.js 14 TypeScript component under components/* with shadcn/ui and Apollo hooks
client/src/graphql/mutations.jsx,.jsx extension,Convert to Next.js 14 TypeScript component under components/* with shadcn/ui and Apollo hooks
client/src/graphql/subscription.jsx,.jsx extension,Convert to Next.js 14 TypeScript component under components/* with shadcn/ui and Apollo hooks
client/src/hoc/withUser.jsx,.jsx extension; useState/useEffect (likely use client),Convert to Next.js 14 TypeScript component under components/* with shadcn/ui and Apollo hooks
client/src/hoc/withTestWrapper.jsx,.jsx extension; Material UI import; React Router usage,Convert to Next.js 14 TypeScript component under components/* with shadcn/ui and Apollo hooks
client/src/themes/SecondTheme.js,Material UI import,Convert to Next.js 14 TypeScript component under components/* with shadcn/ui and Apollo hooks
client/src/themes/MainTheme.js,Material UI import,Convert to Next.js 14 TypeScript component under components/* with shadcn/ui and Apollo hooks
client/src/mui-pro/mui-routes.jsx,.jsx extension; Material UI import,Convert to Next.js 14 TypeScript component under components/* with shadcn/ui and Apollo hooks
client/src/variables/general.jsx,.jsx extension; Material UI import,Convert to Next.js 14 TypeScript component under components/* with shadcn/ui and Apollo hooks
client/src/variables/charts.jsx,.jsx extension,Convert to Next.js 14 TypeScript component under components/* with shadcn/ui and Apollo hooks
client/src/components/LogoutPage.jsx,.jsx extension; React Router usage; useState/useEffect (likely use client),Convert to Next.js 14 TypeScript component under components/* with shadcn/ui and Apollo hooks
client/src/components/DateSearchBar.jsx,.jsx extension; useState/useEffect (likely use client),Convert to Next.js 14 TypeScript component under components/* with shadcn/ui and Apollo hooks
client/src/components/Avatar.jsx,.jsx extension; Material UI import,Convert to Next.js 14 TypeScript component under components/* with shadcn/ui and Apollo hooks
client/src/components/completSearch.jsx,.jsx extension; Material UI import,Convert to Next.js 14 TypeScript component under components/* with shadcn/ui and Apollo hooks
